id,en,zh,info,info_zh
252,Darkstone,闇之石,A rare piece of darkstone. Useful for crafting and upgrading magical weapons or armor.,一塊稀有的暗黑石，它可以用來製作與升級魔法武器或防具。
253,Demonic Ore,惡魔礦石,Unrefined ore of the underworld. Useful for upgrading demonic weapons.,來自地底的原礦靈石.能用來強化惡魔的武器.
254,Draconite,德肯靈石,A rare piece of draconite. Useful for crafting and upgrading magical weapons or armor.,一塊稀有的德肯靈石，它可以用來製作與升級魔法武器或防具。
255,Dragonite,龍靈石,A rare piece of dragonite. Useful for crafting and upgrading magical weapons or armor.,一塊稀有的龍靈石，它可以用來製作與升級魔法武器或防具。
256,Earthstone,地之石,A rare piece of earthstone. Useful for crafting and upgrading magical weapons or armor.,一塊稀有的地石，它可以用來製作與升級魔法武器或防具。
257,Elstone,精靈石,An odd stone often used to craft Elven weapons.,常用來打造精靈武器的奇怪石頭.
258,Eyestone,眼石,Crystal eye fallen from a great gazer. Useful for upgrading powerful weapons.,巨大凝視者掉落的水晶眼球.能用來升級強力的武器.
259,Firestone,火之石,A rare piece of firestone. Useful for crafting and upgrading magical weapons or armor.,一塊稀有的火石，它可以用來製作與升級魔法武器或防具。
260,Fogstone,霧之石,"Strange, transparent material. Useful for upgrading special weapons.",奇怪的透明材料。對於升級特殊武器很有用。
261,Hardened Steel,硬化鋼,"Steel, yet seemingly more durable than usual. Useful in upgrading stronger weapons.",似乎比平常更耐用的鋼。在升級更強大的武器時很有用。
262,Hide,獸皮,A small scrap of animal hide. Useful for crafting and upgrading weapons or armor.,一小塊動物皮碎片，它可以用來製作與升級武器或防具。
263,Iron,鐵,A small piece of iron ore. Useful for crafting and upgrading weapons or armor.,一小塊鐵礦石，它可以用來製作與升級武器或防具。
264,Leather,皮革,A small scrap of leather. Useful for crafting and upgrading weapons or armor.,一個皮革小碎片，它可以用來製作與升級武器或防具。
265,Lightningstone,雷之石,A rare piece of lightningstone. Useful for crafting and upgrading magical weapons or armor.,一塊稀有的雷石，它可以用來製作與升級魔法武器或防具。
266,Mythril,秘銀,A small piece of mythril ore. Useful for crafting and upgrading weapons or armor.,一小塊秘銀礦石，它可以用來製作與升級武器或防具。
267,Nightstone,夜之石,A hard stone that resembles the night sky.,與那夜空相似之石.
268,Perfect Runestone,完美符文石,A flawless chunk of runestone. Useful for crafting and upgrading magical weapons or armor.,一大塊毫髮無傷的符文寶石.它可以用來製作與升級魔法武器或防具。
269,Platinum,白金,A small piece of platinum ore. Useful for crafting and upgrading weapons or armor.,一小塊白金礦石，它可以用來製作與升級武器或防具。
270,Pure Darkstone,純淨的暗黑石,Pure darkstone. Useful for upgrading extremely dark weapons.,純淨的暗黑石。升級暗黑武器很有用處。
271,Pure Draconite,純淨的德肯靈石,A rare chunk of pure draconite. Useful for crafting and upgrading magical weapons or armor.,一大塊稀有的純淨德肯靈石，它可以用來製作與升級魔法武器或防具。
272,Red Draconite,紅德肯靈石,A chunk of fiery draconite. Useful for upgrading powerful weapons.,大塊的德肯靈石.能用來升級強力的武器.
273,Runestone,符文石,A rare piece of runestone. Useful for crafting and upgrading magical weapons or armor.,一塊稀有的符文寶石.它可以用來製作與升級魔法武器或防具。
274,Scalestone,鱗石,A chunk of nearly fossilized scales. Useful for upgrading rare weapons.,非常堅硬的鱗片.可用來強化稀有的武器.
275,Silver,銀,A small piece of silver ore. Useful for crafting and upgrading weapons or armor.,一小塊銀礦石，它可以用來製作與升級武器或防具。
276,Steel,鋼,A small piece of steel ore. Useful for crafting and upgrading weapons or armor.,一小塊鋼鐵礦石，它可以用來製作與升級武器或防具。
277,Stone,石頭,A solid piece of stone. Useful for crafting and upgrading weapons or armor.,一塊堅固的石頭，它可以用來製作與升級武器或防具。
278,Undead Bone,不死族之骨,Bones of the undead can rarely be so strong.,不死族的骨頭難得這麼強壯。
279,Vampiric Ore,吸血鬼礦石,Ore seemingly treasured by the lords of the night. This can be used to upgrade weapons of theirs.,似乎是黑夜領主珍藏的礦石，可以用來升級武器。
280,Waterstone,水之石,A rare piece of waterstone. Useful for crafting and upgrading magical weapons or armor.,一塊稀有的水石.它可以用來製作與升級魔法武器或防具。
281,Witchstone,女巫石,Strange stone crafted by a great witch.,
282,Wolf's Blood,狼之血,What a strange substance. What could it ever be for?,真是奇怪的東西。是能用來幹嘛？
283,Wood,木頭,A solid piece of wood. Useful for crafting and upgrading weapons or armor.,一塊堅硬的木頭，它可以用來製作與升級武器或防具。
284,Boots of Storm,風暴長靴,Boots of a mage who controlled the skies. Grants protection from lightning.,駕馭蒼穹的法師穿的靴子.能抵抗雷電.
285,Boots of Fire,火靴,Boots of a mage who controlled the heat. Grants protection from fire.,控制熱能的魔法長靴，能抵抗火屬性。
286,Rune Staff,符文法杖,‎,
287,Sea Axe,海之斧,An axe enchanted with the power of the raging sea.,附有深海之力的斧頭.
288,Wyvern Hood,飛龍兜帽,An exotic hood made of wyvern skin.,用飛龍皮做的高級兜帽.
289,Arisen Batwing Bow,重生蝙蝠翼弓,Bow forged of a great bat's remains. It may break an opponent's defenses.,用大蝙蝠的遺骸打造的弓.能破壞對手的防禦.
290,Arisen Staff of Wolves,重生群狼法杖,Staff of a wolfman mage. Imbued with earthen powers.,狼人法師的杖.附有大地魔法.
291,Boots of Earth,大地長靴,Boots of a mage who controlled the ground below. Grants protection from earthen magic.,控制大地能量的魔法長靴，能抵抗地屬性。
292,Boots of the Sea,海之長靴,Boots of a mage who controlled the tides. Grants protection from water & ice.,可控制潮汐的法師穿戴的靴子，它可以保護穿戴者免受水與冰的侵害。
293,Longbow,長弓,A hunter's longbow.,一個獵人的長弓.
294,Silk,絲,Silk of a great spider. Useful for upgrading rare weapons.,大蜘蛛製造的絲，可以用來升級稀有武器。
295,Silk Crossbow,絲綢十字弓,A sturdy crossbow fastened with a thread of strong silk.,結實的絲線製成的堅固弩箭。
296,Was,權杖,A symbol of control over the force of chaos.,
297,Ichaival,魔弓,Bow of the underworld.,
298,Shiva's Bow,溼婆之弓,A decorative bow enchanted with the power of ice. It can easily cause an opponent to freeze.,附有冰之魔力的裝飾弓.能輕易使對手凍結.
299,Woodblade,木刀,A mystical sword made of hardened wood.,硬木製成的神秘之劍。
300,Arisen Ankh,重生生命之符,"A strange, ancient staff. It seems it can cast spells and also be used as a weapon.",奇怪的遠古法杖.似乎能用來施法或是物理攻擊用.
301,Grioarvolr,格里歐爾芙,A staff that brings down giants. It may break an opponents magical defenses.,打倒巨人的法杖，它可以突破對手的魔防。
302,Pure Waterstone,純淨的水石,A rare chunk of pure waterstone. Useful for crafting and upgrading powerful magical weapons or armor.,一大塊稀有的純淨水石，它可以用來製作或升級強力的魔法武器或防具。
303,Spear,茅,A blade fashioned upon an extended shaft of wood.,附在長木柄尖端上的刀片。
304,Wolfbane,狼之災,A magical blade representing the unrelenting force of Fenrir the wolf. It can temporarily decrease your opponent's defense upon use.,展現魔狼芬里爾之力的魔法劍.能暫時降低對手的物防.
305,Halberd,戟,An axe blade atop a long pole. Useful for keeping distance while striking.,有著長柄的斧頭。適用於保持距離作攻擊。
306,Glaive,關刀,A curved blade fashioned upon an extended shaft of wood.,用木頭裝飾的彎刀.
307,Grand Sword,大劍,A broad sword fit for a court's guard.,適合宮廷守衛的闊劍。
308,Royal Hood,皇家兜帽,"The royal families often employed the use of rogues, arming them with pieces of great quality.","王室經常僱用流氓,以高品質的武器武裝他們."
309,Grand Armor,大鎧,Armor fit for a court's guard.,適合宮廷守衛的盔甲.
310,Warlock Robe,術士長袍,Robe of a wise warlock.,明智術士長袍。
311,Royal Dagger,皇家匕首,"The royal families often employed the use of rogues, arming them with pieces of great quality.","王室經常僱用流氓,以高品質的武器武裝他們."
312,Warlock Staff,術士法杖,"An oddly green staff, seemingly owned by a wise warlock.",奇怪的綠色法杖，似乎為一位明智的術士所擁有。
313,Warlock Boots,術士長靴,Boots of a wise warlock.,明智術士長靴。
314,Grand Leggings,高級腿甲,Leg armor fit for a court's guard.,適合宮廷守衛的腿甲.
315,Battlemage Boots,戰鬥法師長靴,Some magic users are also skilled in combat. These are the boots of one.,有些法師也很擅長格鬥.這是他們的靴子.
316,Royal Chestplate,皇家胸甲,"The royal families often employed the use of rogues, arming them with pieces of great quality.","王室經常僱用流氓,以高品質的武器武裝他們."
317,Royal Boots,皇家長靴,"The royal families often employed the use of rogues, arming them with pieces of great quality.","王室經常僱用流氓,以高品質的武器武裝他們."
318,Royal Helmet,皇家頭盔,"The royal families often employed the use of rogues, arming them with pieces of great quality.","王室經常僱用流氓,以高品質的武器武裝他們."
319,Warlock Hat,術士帽,A large hat of a wise warlock.,明智術士的大帽子。
320,Battlemage Armor,戰鬥法師盔甲,Some magic users are also skilled in combat. This is the armor of one.,有些魔法師也擅長格鬥.這就是他們的盔甲.
321,Royal Longbow,皇家長弓,"The royal families often employed the use of rogues, arming them with pieces of great quality.","王室經常僱用流氓,以高品質的武器武裝他們."
322,Battlemage Helmet,戰鬥法師頭盔,Some magic users are also skilled in combat. This is the helmet of one.,有些法師對格鬥也略知一二.這頭盔就是他們用的.
323,Ljosalfar Boots,光之精靈長靴,Boots of a Ljosalfar warrior.,光之精靈戰士的長靴。
324,Ljosalfar Staff,光之精靈法杖,Great staff of a Ljosalfar mage.,光之精靈法師強大的法杖.
325,Lightstone,光之石,A glossy white material used in Ljosalfar weaponry.,光之精靈的兵器所使用的光滑原材.
326,Ljosalfar Hood,光之精靈兜帽,Hood of a Ljosalfar mage.,光之精靈法師的兜帽.
327,Ljosalfar Sword,光精靈之劍,A gleaming white blade of a Ljosalfar warrior.,光之精靈戰士的亮白長劍.
328,Naga Halberd,那伽戟,Crude weapon of a Naga warrior,
329,Ljosalfar Sceptre,光之精靈權杖,An extremely versatile magical Ljosalfar sceptre. Can be used as either a magic staff or weapon.,極為萬用的光之精靈權杖.做為法杖或是物理攻擊用都很適合.
330,Pure Lightstone,純淨的光石,Rare white material used in Ljosalfar weaponry. Can be used to upgrade powerful weapons.,光之精靈的武裝所使用的雪白原石.可以用來升級強力的武器.
331,Cursed Ring,詛咒之戒,A ring of the cursed Fafnir. Increases your attack and magic power at the expense of your longevity.,被詛咒的法夫納的戒指.能折損壽命來換取物理及魔法攻擊力的提升.
332,Cursed Monster Tome,詛咒的魔物之典,A tome recounting the cursed stories of Fafnir. Increases experience earned at the expense of your potential.,訴說著邪龍法夫納被詛咒事蹟的巨典.降低你的潛能來換取經驗值的提升.
333,Gorgon's Staff,戈爾貢之杖,A seemingly ageless magic staff.,
334,Ljosalfar Armor,光之精靈盔甲,Chestplate of a Ljosalfar knight.,光之精靈騎士的護胸.
335,Ljosalfar Cowl,光之精靈風帽,Cowl of a Ljosalfar rogue.,光之精靈俠盜的風帽.
336,Ljosalfar Helmet,光之精靈頭盔,Helmet of a Ljosalfar warrior.,光之精靈戰士的頭盔.
337,Ljosalfar Garb,光之精靈皮甲,Light armor of a Ljosalfar warrior.,光之精靈戰士的輕裝甲.
338,Naga Staff,那伽法杖,Crude staff of a Naga mage.,那伽法師的殘暴法杖.
339,Ljosalfar Robe,光之精靈法袍,Robe of a Ljosalfar mage.,光之精靈法師的法袍.
340,Arisen Bow of Scales,重生鱗之弓,"Although the Lizarr seemed untrained in advanced weaponry, these fine bows have been found within their settlements. This bow is enchanted with the power of ice and water.",雖然蜥蜴人沒有受過先進的武器訓練，但在他們的居住地發現這些精美的弓箭，這把弓充滿了冰與水之力。
341,Leather Belt,羽毛腰帶,A leather belt. Improves your dexterity.,皮革腰帶.能提升敏捷.
342,Grand Helmet,大頭盔,A helmet fit for a court's guard.,適合宮廷守衛的頭盔.
343,Wyvern Cowl,飛龍風帽,An exotic cowl made of wyvern skin.,用飛龍皮做的高級風帽.
344,Woodland Staff,林地法杖,A mystical staff made of hardened wood.,硬木製成的神祕法杖。
345,Soul,靈魂,Soul of a felled gladiator. Useful in upgrading rarer weapons and equipment.,墮落鬥士之魂.能升級稀有的武器和裝備.
346,Greater Soul,強大靈魂,Soul of a great felled gladiator. Useful in upgrading rarer weapons and equipment.,強大的鬥士之魂.能用來升級稀有的武器和裝備.
347,Arena Token,競技場代幣,A token permitting access to battle in the Arena.,允許進入競技場的代幣。
348,Deadwood Staff,死木法杖,A staff forged of long dead wood.,用古早的死木打造的法杖.
349,Balor Sword,巴羅爾之劍,A commonly used sword of knights of Balor.,巴羅爾騎士常使用的劍。
350,Arisen Balor Dagger,重生巴羅爾匕首,Dagger often carried as a sidearm by demon soldiers.  Has the chance of both burning and causing an opponent to bleed.,
351,Arcane Robe,奧術長袍,The robe of one who practices rare magic. Slightly raises total mana.,施展稀有魔法之人的法袍.能稍微提升魔力值.
352,Arcane Hat,奧術帽,The hat of one who practices rare magic. Slightly raises total mana.,練習稀世魔法之人的帽子.能稍微提升魔力值.
353,Arcane Boots,奧術長靴,The boots of one who practices rare magic. Slightly raises total mana.,練習稀世魔法之人的長靴.能稍微提升法力值.
